index,Dataset,ID,Condition,Start,transition_entropy,stationary_entropy,event_agg,Condition_hand,NA
19132,big,385,F,410,0.473162743291219,1.428190931452454,1.0,35,False
19133,big,385,F,420,0.5811745684842914,1.2215486894910663,1.0,35,False
19135,big,385,F,440,0.4089252390616613,0.8451317180519996,0.0,35,False
19136,big,385,F,450,0.0,0.6892790652312052,0.0,35,False
19137,big,385,F,460,0.0,0.3335079943742988,0.0,35,False
19138,big,385,F,470,0.0,0.5121643854991935,0.0,35,False
19139,big,385,F,480,0.0,0.6927925516438663,0.0,35,False
19140,big,385,F,490,0.0,0.670835415892682,0.0,35,False
19141,big,385,F,500,0.0,0.6930825781005128,0.0,35,False
19142,big,385,F,510,0.164513072703144,0.7059340492928727,0.0,35,False
19143,big,385,F,520,0.9919724087531252,1.020573041744584,0.0,35,False
19144,big,385,F,530,1.0372277459866373,1.2654850290694335,0.0,35,False
19145,big,385,F,540,0.7170982923105484,1.5552872451198436,0.0,35,False
19146,big,385,F,550,0.5149509756049091,1.8608774195700557,1.0,35,False
19147,big,385,F,560,0.4678227977771604,1.8284896338639485,1.0,35,False
19148,big,385,F,570,0.6687803908299047,1.6857247383878349,1.0,35,False
19149,big,385,F,580,0.4863502101695,1.6452701816696709,1.0,35,False
19150,big,385,F,590,0.4682268284149161,1.3393756509284631,0.0,35,False
19151,big,385,F,600,0.1955041113550773,1.211882466490085,0.0,35,False
19152,big,385,F,610,0.6881518567721338,1.2965910524204804,0.0,35,False
19153,big,385,F,620,0.7098317694931251,1.280200192127647,0.0,35,False
19154,big,385,F,630,0.0971527045528496,1.1110768933880428,0.0,35,False
19155,big,385,F,640,0.0,0.0,0.0,35,False
19156,big,385,F,650,0.0,0.6926267989248257,0.0,35,False
19157,big,385,F,660,0.2427252554830663,1.2302264410204562,0.0,35,False
19158,big,385,F,670,0.3210714469955131,1.6405831474371084,0.0,35,False
19159,big,385,F,680,0.4180029112989983,1.644934718558151,0.0,35,False
